pert_id	inchikey	block1
BRD-K41633701	UOHQMYXKCBJNRU-DFIYOIEZSA-N	UOHQMYXKCBJNRU
BRD-K41641213	ZFSASZLDLYDYGX-NJYVYQBISA-N	ZFSASZLDLYDYGX
BRD-K41641829	NNPXJSNOAUXSRD-QJMRKGMQSA-N	NNPXJSNOAUXSRD
BRD-K41645779	VWJAYWNRKZGBEV-CQSZACIVSA-N	VWJAYWNRKZGBEV
BRD-K41649460	LMYACBAJSFEPOG-ZLFFOLKFSA-N	LMYACBAJSFEPOG
BRD-K41651095	CSXAVIOBTDLUSY-WPFOTENUSA-N	CSXAVIOBTDLUSY
BRD-K41652832	WYYHNXRAZIWUBG-BXOOBUKZSA-N	WYYHNXRAZIWUBG
BRD-K41652870	PLKUYFLKWJFBTD-UHFFFAOYSA-N	PLKUYFLKWJFBTD
BRD-K41660807	YIAMBQQGWRAZTQ-YPMKZHJPSA-N	YIAMBQQGWRAZTQ
BRD-K41666683	DATIAPBYKVSBBH-UHFFFAOYSA-N	DATIAPBYKVSBBH
BRD-K41667061	ZGEAGHWTKPKCOK-YONGWMJJSA-N	ZGEAGHWTKPKCOK
BRD-K41668190	GOAOODKMEMAENX-JERWTEEISA-N	GOAOODKMEMAENX
BRD-K41670583	QBPUOAJBMXXBNU-UHFFFAOYSA-N	QBPUOAJBMXXBNU
BRD-K41675418	AGCDJJGGWAFKHW-CZTZKLFOSA-N	AGCDJJGGWAFKHW
BRD-K41700431	ONZMGLOOFFOJCP-BBANNHEPSA-N	ONZMGLOOFFOJCP
BRD-K41703587	BEBQDKOSRNKXPA-UZEJHQAJSA-N	BEBQDKOSRNKXPA
BRD-K41705395	KWGXIONTUQXQSV-AREMUKBSSA-N	KWGXIONTUQXQSV
BRD-K41707108	BLTCBVOJNNKFKC-QUDYQQOWSA-N	BLTCBVOJNNKFKC
BRD-K41708980	YNDXUCZADRHECN-MUQQULFASA-N	YNDXUCZADRHECN
BRD-K41713976	SRUISGSHWFJION-UHFFFAOYSA-N	SRUISGSHWFJION
BRD-K41721525	ROLSNKBZZJBICT-DAXOMENPSA-N	ROLSNKBZZJBICT
BRD-K41721791	YHQIULRSPQCSKT-TWEZTRHFSA-N	YHQIULRSPQCSKT
BRD-K41723088	TYHBJRPCTKOJBR-VAWZGJIGSA-N	TYHBJRPCTKOJBR
BRD-K41726296	XJOPVLQFFGEWNL-ZRLASMASSA-N	XJOPVLQFFGEWNL
BRD-K41731458	XEFQLINVKFYRCS-UHFFFAOYSA-N	XEFQLINVKFYRCS
BRD-K41731469	CIRYYAWURCKBQH-GXVHRJHYSA-N	CIRYYAWURCKBQH
BRD-K41732846	YIDCJSIMEGPZQS-GPMSIDNRSA-N	YIDCJSIMEGPZQS
BRD-K41743657	FRFGYBSWUNYCIP-PFPZSTESSA-N	FRFGYBSWUNYCIP
BRD-K41757249	BNVMMAAJZWZLHS-UHFFFAOYSA-N	BNVMMAAJZWZLHS
BRD-K41761456	AVDNHTGKAVTISS-YQIMAOPZSA-N	AVDNHTGKAVTISS
BRD-K41761879	CFEPXBTYRQWTEY-MSYCTHLASA-N	CFEPXBTYRQWTEY
BRD-K41763112	KNZOATPLJIEOET-ZUVQJFRASA-N	KNZOATPLJIEOET
BRD-K41763142	YDHXSWOLXDIZHC-JPPXYHIZSA-N	YDHXSWOLXDIZHC
BRD-K41767152	FTXRYBFBPIDHAK-LMQGHGSNSA-N	FTXRYBFBPIDHAK
BRD-K41772907	HJQILFPVRNHTIG-UHFFFAOYSA-N	HJQILFPVRNHTIG
BRD-K41775742	QDRBVCQGVAHXBS-JQASONJCSA-N	QDRBVCQGVAHXBS
BRD-K41779994	WYMIJPVEWZCEGL-UEXGIBASSA-N	WYMIJPVEWZCEGL
BRD-K41783120	HSKAZIJJKRAJAV-KOEQRZSOSA-N	HSKAZIJJKRAJAV
BRD-K41790019	UEIRNIQKIBOUIF-WZOHSFFVSA-N	UEIRNIQKIBOUIF
BRD-K41790758	XPVMDHZRMCTXST-UHFFFAOYSA-N	XPVMDHZRMCTXST
BRD-K41797142	CQHBFQHJMCXJMS-UHFFFAOYSA-N	CQHBFQHJMCXJMS
BRD-K41809988	DIVDFFZHCJEHGG-UHFFFAOYSA-N	DIVDFFZHCJEHGG
BRD-K41814765	MMMDBRZAUZWGES-NRFANRHFSA-N	MMMDBRZAUZWGES
BRD-K41824522	DXMUJVLGRJRVIZ-UHFFFAOYSA-N	DXMUJVLGRJRVIZ
BRD-K41842760	QMUJEDHAYZDYPI-UXHICEINSA-N	QMUJEDHAYZDYPI
BRD-K41844882	VKCFDPYGFDYBIC-YDIMBITNSA-N	VKCFDPYGFDYBIC
BRD-K41845021	LLAPOGNBVGIRHM-UHFFFAOYSA-N	LLAPOGNBVGIRHM
BRD-K41859756	NDAZATDQFDPQBD-UHFFFAOYSA-N	NDAZATDQFDPQBD
BRD-K41862560	JEEWDARUSPNTGW-PXFJVXAFSA-N	JEEWDARUSPNTGW
BRD-K41863121	GUCCOCGWZUYAMY-AQNXPRMDSA-N	GUCCOCGWZUYAMY
BRD-K41866979	UJYZNBPSVBHVBP-BOCITWAFSA-N	UJYZNBPSVBHVBP
