pert_id	pert_iname	pubchem_cid	stitch_chemical	ensp	gene_symbol	entrez	gene_idx	combined_score
BRD-A82307304	atorvastatin	2250	CIDm00002250	9606.ENSP00000306817	RBKS	64080	920	155
BRD-A87137733	GSK-690693	16048642	CIDm16048642	9606.ENSP00000263967	PIK3CA	5290	455	155
BRD-A89585551	mefloquine	4046	CIDm00004046	9606.ENSP00000411532	TOP2A	7153	82	155
BRD-K00656370	6-aminochrysene	17534	CIDm00017534	9606.ENSP00000298556	HPRT1	3251	300	155
BRD-K00656370	6-aminochrysene	17534	CIDm00017534	9606.ENSP00000350937	TES	26136	273	155
BRD-K00656370	6-aminochrysene	17534	CIDs00017534	9606.ENSP00000298556	HPRT1	3251	300	155
BRD-K00656370	6-aminochrysene	17534	CIDs00017534	9606.ENSP00000350937	TES	26136	273	155
BRD-K00938507	sulfamethoxypyridazine	5330	CIDm00005330	9606.ENSP00000387123	ALDH7A1	501	625	155
BRD-K00938507	sulfamethoxypyridazine	5330	CIDs00005330	9606.ENSP00000387123	ALDH7A1	501	625	155
BRD-K01493881	apigenin	5280443	CIDm05280443	9606.ENSP00000364912	SPEN	23013	176	155
BRD-K01493881	apigenin	5280443	CIDs05280443	9606.ENSP00000364912	SPEN	23013	176	155
BRD-K03406345	azacitidine	9444	CIDs00009444	9606.ENSP00000333926	ABCC5	10057	656	155
BRD-K03568070	nerol	637566	CIDs00637566	9606.ENSP00000281456	SLC25A4	291	297	155
BRD-K06750613	GSK-1059615	23582824	CIDm23582824	9606.ENSP00000255078	IGHMBP2	3508	806	155
BRD-K06750613	GSK-1059615	23582824	CIDs23582824	9606.ENSP00000255078	IGHMBP2	3508	806	155
BRD-K06902185	minoxidil	4201	CIDm00004201	9606.ENSP00000261590	DSG2	1829	835	155
BRD-K06902185	minoxidil	4201	CIDs00004201	9606.ENSP00000261590	DSG2	1829	835	155
BRD-K07691486	roscovitine	160355	CIDs00160355	9606.ENSP00000411532	TOP2A	7153	82	155
BRD-K08327065	kanamycin	6032	CIDs00006032	9606.ENSP00000313921	MSRA	4482	922	155
BRD-K08554278	bisbenzimide	1464	CIDm00001464	9606.ENSP00000379042	ERO1A	30001	883	155
BRD-K08554278	bisbenzimide	1464	CIDs00001464	9606.ENSP00000379042	ERO1A	30001	883	155
BRD-K08703257	3-amino-benzamide	1645	CIDm00001645	9606.ENSP00000298307	KLHDC2	23588	836	155
BRD-K08703257	3-amino-benzamide	1645	CIDs00001645	9606.ENSP00000298307	KLHDC2	23588	836	155
BRD-K13664374	dichloroacetic-acid	6597	CIDm00006597	9606.ENSP00000216554	EIF5	1983	609	155
BRD-K13664374	dichloroacetic-acid	6597	CIDs00006597	9606.ENSP00000216554	EIF5	1983	609	155
BRD-K14888893	minoxidil	4201	CIDm00004201	9606.ENSP00000261590	DSG2	1829	835	155
BRD-K14888893	minoxidil	4201	CIDs00004201	9606.ENSP00000261590	DSG2	1829	835	155
BRD-K15108141	gemcitabine	60749	CIDs00060749	9606.ENSP00000306817	RBKS	64080	920	155
BRD-K15262564	mupirocin	446596	CIDs00446596	9606.ENSP00000313921	MSRA	4482	922	155
BRD-K15567837	clopamide	12492	CIDs00012492	9606.ENSP00000309198	UBE3C	9690	150	155
BRD-K15567837	clopamide	12492	CIDs00012492	9606.ENSP00000340596	UBE3B	89910	731	155
BRD-K15916496	clotrimazole	2812	CIDm00002812	9606.ENSP00000265148	CENPE	1062	505	155
BRD-K15916496	clotrimazole	2812	CIDm00002812	9606.ENSP00000356319	KIF14	9928	556	155
BRD-K15916496	clotrimazole	2812	CIDm00002812	9606.ENSP00000361298	KIF2C	11004	657	155
BRD-K15916496	clotrimazole	2812	CIDm00002812	9606.ENSP00000378356	KIF20A	10112	897	155
BRD-K15916496	clotrimazole	2812	CIDm00002812	9606.ENSP00000393379	KIF5C	3800	340	155
BRD-K15916496	clotrimazole	2812	CIDs00002812	9606.ENSP00000265148	CENPE	1062	505	155
