pert_id	pert_iname	gene_symbol	entrez	gene_idx	chembl	chembl_actions	chembl_direct	stitch_score	evidence
BRD-A08027849	deoxycholic-acid	DNAJC15	29103	879	0		0	203	stitch
BRD-A08027849	deoxycholic-acid	SDHB	6390	261	0		0	197	stitch
BRD-A08027849	deoxycholic-acid	CYCS	54205	621	0		0	192	stitch
BRD-A08027849	deoxycholic-acid	CAT	847	96	0		0	159	stitch
BRD-A08027849	deoxycholic-acid	TNFRSF21	27242	905	0		0	159	stitch
BRD-A08027849	deoxycholic-acid	HTRA1	5654	72	0		0	156	stitch
BRD-A08027849	deoxycholic-acid	PSMD9	5715	584	0		0	156	stitch
BRD-A08027849	deoxycholic-acid	TP53	7157	139	0		0	155	stitch
BRD-A08062015	methyl-testosterone	NR3C1	2908	807	0		0	519	stitch
BRD-A08062015	methyl-testosterone	PPARG	5468	600	0		0	352	stitch
BRD-A08062015	methyl-testosterone	PPARD	5467	973	0		0	352	stitch
BRD-A08062015	methyl-testosterone	NR2F6	2063	649	0		0	352	stitch
BRD-A08062015	methyl-testosterone	IGF2R	3482	92	0		0	236	stitch
BRD-A08062015	methyl-testosterone	DUSP4	1846	437	0		0	202	stitch
BRD-A08062015	methyl-testosterone	DUSP6	1848	618	0		0	202	stitch
BRD-A08062015	methyl-testosterone	DUSP3	1845	110	0		0	202	stitch
BRD-A08062015	methyl-testosterone	ZNF451	26036	738	0		0	195	stitch
BRD-A08062015	methyl-testosterone	PDHX	8050	330	0		0	178	stitch
BRD-A08062015	methyl-testosterone	BRCA1	672	466	0		0	167	stitch
BRD-A08062015	methyl-testosterone	SPEN	23013	176	0		0	163	stitch
BRD-A08062015	methyl-testosterone	EXOSC4	54512	893	0		0	160	stitch
BRD-A08187463	racecadotril	RPN1	6184	49	0		0	193	stitch
BRD-A08187463	racecadotril	IDE	3416	817	0		0	191	stitch
BRD-A08200164	melphalan	CDK1	983	353	0		0	817	stitch_high
BRD-A08200164	melphalan	CASP3	836	284	0		0	736	stitch_high
BRD-A08200164	melphalan	CAT	847	96	0		0	700	stitch_high
BRD-A08200164	melphalan	TOP2A	7153	82	0		0	375	stitch
BRD-A08200164	melphalan	TP53	7157	139	0		0	367	stitch
BRD-A08200164	melphalan	RAD51C	5889	549	0		0	294	stitch
BRD-A08200164	melphalan	PECR	55825	946	0		0	265	stitch
BRD-A08200164	melphalan	DECR1	1666	233	0		0	265	stitch
BRD-A08200164	melphalan	ICAM1	3383	257	0		0	227	stitch
BRD-A08200164	melphalan	CCNB2	9133	270	0		0	225	stitch
BRD-A08200164	melphalan	CCNB1	891	798	0		0	225	stitch
BRD-A08200164	melphalan	FPGS	2356	315	0		0	199	stitch
BRD-A08200164	melphalan	PGRMC1	10857	63	0		0	178	stitch
BRD-A08200164	melphalan	CBR1	873	644	0		0	172	stitch
BRD-A08200164	melphalan	HSD17B11	51170	843	0		0	172	stitch
BRD-A08200164	melphalan	CBR3	874	522	0		0	172	stitch
BRD-A08200164	melphalan	CDKN1B	1027	637	0		0	167	stitch
BRD-A08200164	melphalan	CCND1	595	610	0		0	164	stitch
BRD-A08200164	melphalan	CCNA1	8900	544	0		0	159	stitch
BRD-A08200164	melphalan	CCNF	899	492	0		0	159	stitch
BRD-A08200164	melphalan	BIRC5	332	187	0		0	153	stitch
BRD-A08200164	melphalan	TRIB1	10221	208	0		0	150	stitch
BRD-A08200164	melphalan	PIK3R3	8503	280	0		0	150	stitch
BRD-A08200164	melphalan	TLR4	7099	944	0		0	150	stitch
BRD-A08200164	melphalan	PPP2R5A	5525	201	0		0	150	stitch
BRD-A08200164	melphalan	PTGS2	5743	482	0		0	150	stitch
BRD-A08200164	melphalan	RGS2	5997	223	0		0	150	stitch
BRD-A08200164	melphalan	ANKRD10	55608	854	0		0	150	stitch
BRD-A08200164	melphalan	EDN1	1906	910	0		0	150	stitch
BRD-A08200164	melphalan	IER3	8870	126	0		0	150	stitch
BRD-A08200164	melphalan	SMAD3	4088	524	0		0	150	stitch
BRD-A08200164	melphalan	IL1B	3553	508	0		0	150	stitch
BRD-A08200164	melphalan	BAX	581	599	0		0	150	stitch
BRD-A08660406	iodixanol	PRKACA	5566	292	0		0	330	stitch
BRD-A08660406	iodixanol	ETFB	2109	314	0		0	225	stitch
BRD-A08660406	iodixanol	DNAJC15	29103	879	0		0	225	stitch
BRD-A08660406	iodixanol	CIAPIN1	57019	598	0		0	221	stitch
BRD-A08660406	iodixanol	STX1A	6804	481	0		0	213	stitch
BRD-A08660406	iodixanol	NOS3	4846	536	0		0	184	stitch
BRD-A08660406	iodixanol	STX4	6810	398	0		0	183	stitch
BRD-A08660406	iodixanol	PDHX	8050	330	0		0	180	stitch
BRD-A08660406	iodixanol	PIK3R4	30849	750	0		0	173	stitch
BRD-A08660406	iodixanol	TBC1D31	93594	789	0		0	168	stitch
BRD-A08660406	iodixanol	PSMD9	5715	584	0		0	162	stitch
BRD-A08660406	iodixanol	HTRA1	5654	72	0		0	162	stitch
BRD-A08660406	iodixanol	DNM1	1759	802	0		0	160	stitch
BRD-A08660406	iodixanol	ACAT2	39	672	0		0	152	stitch
BRD-A08660406	iodixanol	ACAA1	30	794	0		0	152	stitch
BRD-A08660406	iodixanol	TUBB6	84617	643	0		0	150	stitch
BRD-A10070317	propranolol	ADRB2	154	553	1	ANTAGONIST	1	995	chembl+stitch_high
BRD-A10070317	propranolol	TBXA2R	6915	970	0		0	240	stitch
BRD-A10070317	propranolol	CXCR4	7852	710	0		0	240	stitch
BRD-A10355991	norketamine	LYPLA1	10434	323	0		0	166	stitch
BRD-A10355991	norketamine	RPS6	6194	9	0		0	163	stitch
BRD-A10386413	ascorbic-acid	RB1	5925	341	0		0	193	stitch
BRD-A10386413	ascorbic-acid	NFKBIE	4794	432	0		0	168	stitch
BRD-A10386413	ascorbic-acid	NFKBIB	4793	790	0		0	168	stitch
BRD-A10386413	ascorbic-acid	ANKRD10	55608	854	0		0	168	stitch
BRD-A10386413	ascorbic-acid	NFKBIA	4792	105	0		0	168	stitch
BRD-A10386413	ascorbic-acid	NFKB2	4791	580	0		0	168	stitch
BRD-A10386413	ascorbic-acid	CAT	847	96	0		0	157	stitch
BRD-A10523515	GSK-429286A	RPS6KA1	6195	383	0		0	315	stitch
BRD-A10977446	carvedilol	ADRB2	154	553	1	ANTAGONIST	1		chembl
BRD-A11170096	pravastatin	HMGCR	3156	244	0		0	999	stitch_high
BRD-A11170096	pravastatin	NOS3	4846	536	0		0	983	stitch_high
BRD-A11170096	pravastatin	CCL2	6347	809	0		0	914	stitch_high
BRD-A11170096	pravastatin	COG2	22796	332	0		0	897	stitch_high
BRD-A11170096	pravastatin	EDN1	1906	910	0		0	858	stitch_high
BRD-A11170096	pravastatin	HMOX1	3162	413	0		0	800	stitch_high
BRD-A11170096	pravastatin	CAT	847	96	0		0	700	stitch_high
BRD-A11170096	pravastatin	PPARD	5467	973	0		0	401	stitch
BRD-A11170096	pravastatin	FGFR4	2264	469	0		0	373	stitch
BRD-A11170096	pravastatin	FGFR2	2263	409	0		0	373	stitch
BRD-A11170096	pravastatin	KIT	3815	506	0		0	373	stitch
BRD-A11170096	pravastatin	SCARB1	949	151	0		0	357	stitch
BRD-A11170096	pravastatin	APOE	348	384	0		0	264	stitch
BRD-A11170096	pravastatin	ICAM1	3383	257	0		0	259	stitch
BRD-A11170096	pravastatin	HMGCS1	3157	964	0		0	230	stitch
BRD-A11170096	pravastatin	PPARG	5468	600	0		0	214	stitch
BRD-A11170096	pravastatin	CSK	1445	217	0		0	198	stitch
BRD-A11170096	pravastatin	SYK	6850	581	0		0	198	stitch
BRD-A11170096	pravastatin	MELK	9833	491	0		0	198	stitch
BRD-A11170096	pravastatin	ABL1	25	192	0		0	198	stitch
BRD-A11170096	pravastatin	FYN	2534	686	0		0	198	stitch
BRD-A11170096	pravastatin	TRIB1	10221	208	0		0	198	stitch
BRD-A11170096	pravastatin	EPHA3	2042	550	0		0	198	stitch
BRD-A11170096	pravastatin	TESK1	7016	445	0		0	198	stitch
BRD-A11170096	pravastatin	LYN	4067	695	0		0	198	stitch
BRD-A11170096	pravastatin	SERPINE1	5054	253	0		0	173	stitch
BRD-A11170096	pravastatin	SMC4	10051	128	0		0	163	stitch
BRD-A11170096	pravastatin	RHOA	387	5	0		0	151	stitch
BRD-A11170096	pravastatin	APP	351	11	0		0	150	stitch
BRD-A11609859	SB-205607	ADRB2	154	553	0		0	315	stitch
BRD-A11609859	SB-205607	CXCR4	7852	710	0		0	315	stitch
BRD-A11609859	SB-205607	TBXA2R	6915	970	0		0	315	stitch
BRD-A11609859	SB-205607	HMOX1	3162	413	0		0	284	stitch
BRD-A11776908	enilconazole	SFN	2810	648	0		0	306	stitch
BRD-A11776908	enilconazole	DECR1	1666	233	0		0	289	stitch
BRD-A11776908	enilconazole	PECR	55825	946	0		0	289	stitch
BRD-A11776908	enilconazole	CBR1	873	644	0		0	188	stitch
BRD-A11776908	enilconazole	HSD17B11	51170	843	0		0	188	stitch
BRD-A11776908	enilconazole	CBR3	874	522	0		0	188	stitch
BRD-A11776908	enilconazole	ALDH7A1	501	625	0		0	169	stitch
BRD-A11990600	lorazepam	SMC1A	8243	118	0		0	204	stitch
BRD-A11990600	lorazepam	MRPL19	9801	394	0		0	197	stitch
BRD-A11990600	lorazepam	HSPD1	3329	31	0		0	167	stitch
BRD-A11990600	lorazepam	ZNF451	26036	738	0		0	159	stitch
BRD-A12016240	LY-278584	MMP1	4312	461	0		0	150	stitch
BRD-A12230535	nutlin-3	TP53	7157	139	0		0	985	stitch_high
BRD-A12230535	nutlin-3	PMAIP1	5366	452	0		0	867	stitch_high
BRD-A12230535	nutlin-3	CYCS	54205	621	0		0	814	stitch_high
BRD-A12230535	nutlin-3	HMOX1	3162	413	0		0	800	stitch_high
BRD-A12230535	nutlin-3	PARP1	142	605	0		0	754	stitch_high
BRD-A12230535	nutlin-3	CASP3	836	284	0		0	736	stitch_high
BRD-A12230535	nutlin-3	CASP7	840	572	0		0	700	stitch_high
BRD-A12230535	nutlin-3	CDK7	1022	701	0		0	432	stitch
BRD-A12230535	nutlin-3	CDK19	23097	763	0		0	372	stitch
BRD-A12230535	nutlin-3	FOXO3	2309	447	0		0	371	stitch
BRD-A12230535	nutlin-3	FOXO4	4303	527	0		0	319	stitch
BRD-A12230535	nutlin-3	GADD45A	1647	419	0		0	307	stitch
BRD-A12230535	nutlin-3	BIRC5	332	187	0		0	297	stitch
BRD-A12230535	nutlin-3	TUBB6	84617	643	0		0	286	stitch
BRD-A12230535	nutlin-3	CDK2	1017	450	0		0	279	stitch
BRD-A12230535	nutlin-3	AURKA	6790	443	0		0	275	stitch
BRD-A12230535	nutlin-3	CHEK2	11200	692	0		0	245	stitch
BRD-A12230535	nutlin-3	RB1	5925	341	0		0	240	stitch
BRD-A12230535	nutlin-3	CDK4	1019	209	0		0	235	stitch
BRD-A12230535	nutlin-3	BAX	581	599	0		0	230	stitch
BRD-A12230535	nutlin-3	YKT6	10652	825	0		0	218	stitch
BRD-A12230535	nutlin-3	CCND1	595	610	0		0	214	stitch
BRD-A12230535	nutlin-3	USP7	7874	104	0		0	210	stitch
BRD-A12230535	nutlin-3	PARP2	10038	792	0		0	204	stitch
BRD-A12230535	nutlin-3	CXCR4	7852	710	0		0	203	stitch
BRD-A12230535	nutlin-3	CLTB	1212	515	0		0	201	stitch
BRD-A12230535	nutlin-3	NRAS	4893	258	0		0	194	stitch
BRD-A12230535	nutlin-3	EGFR	1956	173	0		0	184	stitch
