lincs_cell_id	assay_target	status	resolution_tier	assay_used	is_primary_assay	source_used	genome_build	identity_confidence	contamination_status	model_confidence_flag	sample_ids_used	sample_ids_dropped	notes
JURKAT	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	contaminant_samples_removed	decontaminated	43591,49282,49283,50564,50568,50572,53708,53709,54237	43040	Dominant identity correct; 1 contaminant sample(s) dropped, 9 clean kept.
JURKAT	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg38	name_verified	contaminant_samples_removed	decontaminated	34269,49284,67368,67369,74124,74125,74126,74127,74128,74129	74122,74123	Dominant identity correct; 2 contaminant sample(s) dropped, 10 clean kept.
LNCAP	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	contaminant_samples_removed	decontaminated	5026,5027,7638,7639,8495,8496,43138,43139,43140,43141,43142,43143,43144,43145,43146,43147,43148,43149,43150,43151,43152,43153,43154,43155,43159,43160,45026,45027,65846,65847,65848,93386,93388,93908,93909,93916,93917,93918,93919,105655,105656,105657,105658,105659,105660,105661,105662	65849,65850,65851	Dominant identity correct; 3 contaminant sample(s) dropped, 47 clean kept.
LNCAP	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		2199,2200,43059,43060,61919,61920,61921,61922,61923,61924,61925,61926,61927,61928,61929,61930,61931,61932,61933,61934,61935,61936,62198,62210,66488,66495,67071,67072,68393,69366,69367,83855,83856,84175,84179,84180,90914,90917,93912,93913,101515,101516		Cistrome sample ID(s): 2199,2200,43059,43060,61919,61920,61921,61922,61923,61924,61925,61926,61927,61928,61929,61930,61931,61932,61933,61934,61935,61936,62198,62210,66488,66495,67071,67072,68393,69366,69367,83855,83856,84175,84179,84180,90914,90917,93912,93913,101515,101516
LNCAP	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg38	name_verified	clean		2201,2202,34325,34328,39738,70757,70758,76143,76144,84175,84179,84180,90915,92449,93914,94709,105664,105665		Cistrome sample ID(s): 2201,2202,34325,34328,39738,70757,70758,76143,76144,84175,84179,84180,90915,92449,93914,94709,105664,105665
LOVO	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	clean		78500		Cistrome sample ID(s): 78500
LOVO	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		66756		Cistrome sample ID(s): 66756
LOVO	H3K27me3	resolved	direct_measurement	H3K27me3	True	epimap	hg19	name_verified	clean				EpiMap imputed track, biosample ID: BSS01179 [perturb=null confirmed]
MCF10A	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	clean		79427,79428,79429,79430,106852,106853,106854,106855,106856,106857,106858,106859,106860,106861,106862,106863,106864,106865,106866,106867,106868,106869,106870,106871		Cistrome sample ID(s): 79427,79428,79429,79430,106852,106853,106854,106855,106856,106857,106858,106859,106860,106861,106862,106863,106864,106865,106866,106867,106868,106869,106870,106871
MCF10A	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		58594,66273,66274,66493,66494,81964,81965,82209,82210,82229,82231,82232,84832,84833,84834,84835,84836,86068,86069,86070,86071,86072,86073,86074,86075,86076,86077,86327,86328,86332,86333,105307,105309,108302		Cistrome sample ID(s): 58594,66273,66274,66493,66494,81964,81965,82209,82210,82229,82231,82232,84832,84833,84834,84835,84836,86068,86069,86070,86071,86072,86073,86074,86075,86076,86077,86327,86328,86332,86333,105307,105309,108302
MCF10A	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg38	name_verified	contaminant_samples_removed	decontaminated	48604,68301,68302,82211,82212,82223,82224,82225,82226,82227,82228,82230,84304,86569	71100,71101	Dominant identity correct; 2 contaminant sample(s) dropped, 14 clean kept.
MCF7	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR422SUG
MCF7	H3K27ac	resolved	direct_measurement	H3K27ac	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR000EWR,ENCSR752UOD
MCF7	H3K27me3	resolved	direct_measurement	H3K27me3	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR000EWP,ENCSR761DLU
MCH58	ATAC-seq	resolved	tissue_type_match	ATAC-seq	True	cistrome	hg38	tissue_type_only	clean	tissue_type_only	1798,1799,1800,1801,1890,1898,1899,1900,5021,40693,40695,40696,40697,40701,40705,40709,40710,40716,40723,40737,40742,40753,40842,40858,40949,40981,41009,41025,41048,41063,42141,42142,42143,42144,42145,42146,43791,43793,43795,44611,44612,44613,44614,44886,44887,44898,44899,44967,44968,45085,45086,59655,59656,61659,61660,61661,61662,61663,61664,61665,61666,65329,65330,65331,65332,65333,65334,65335,65336,78084,78097,78101,78207,78219,78221,78451,78630,78631,78632,78633,78634,78635,78655,78726,79223,79224,79267,79269,79283,79284,79285,79286,79292,79414,79415,79416,79417,79418,79419,79702,79703,79704,79705,79706,80549,80550,80850,89083,89084,90278,90279,90280,90281,90282,90283,90284,90285,90520,90526,90527,90713,90714,90715,90716,90717,90718,90719,90720,90726,90941,90945,90946,90947,90948,91943,91944,91945,91946,91947,91948,91949,91950,91951,91952,92239,92241,92242,92243,93025,93616,93617,93618,93619,93620,93824,94255,94256,94257,94647,94772,107564,107565,107566,107567,107568,107569,107570,107571,107572,107573		[alias='fibroblast' (type alias)] Cistrome sample ID(s): 1798,1799,1800,1801,1890,1898,1899,1900,5021,40693,40695,40696,40697,40701,40705,40709,40710,40716,40723,40737,40742,40753,40842,40858,40949,40981,41009,41025,41048,41063,42141,42142,42143,42144,42145,42146,43791,43793,43795,44611,44612,44613,44614,44886,44887,44898,44899,44967,44968,45085,45086,59655,59656,61659,61660,61661,61662,61663,61664,61665,61666,65329,65330,65331,65332,65333,65334,65335,65336,78084,78097,78101,78207,78219,78221,78451,78630,78631,78632,78633,78634,78635,78655,78726,79223,79224,79267,79269,79283,79284,79285,79286,79292,79414,79415,79416,79417,79418,79419,79702,79703,79704,79705,79706,80549,80550,80850,89083,89084,90278,90279,90280,90281,90282,90283,90284,90285,90520,90526,90527,90713,90714,90715,90716,90717,90718,90719,90720,90726,90941,90945,90946,90947,90948,91943,91944,91945,91946,91947,91948,91949,91950,91951,91952,92239,92241,92242,92243,93025,93616,93617,93618,93619,93620,93824,94255,94256,94257,94647,94772,107564,107565,107566,107567,107568,107569,107570,107571,107572,107573
MCH58	H3K27ac	resolved	tissue_type_match	H3K27ac	True	cistrome	hg38	tissue_type_only	clean	tissue_type_only	1820,1821,1822,1891,6383,6384,6385,34298,39825,39828,39837,41276,41277,41622,45467,45497,49412,49413,50354,50355,53130,55895,61976,61977,61978,62055,62056,62057,62068,62069,62070,62071,62072,62199,62200,62201,66287,66288,66289,66290,66291,66292,66293,66294,66454,66460,66461,66462,66463,66464,66465,67030,67031,69207,81285,81374,81377,81698,81699,81701,81824,82521,82522,82646,82647,83596,85522,86651,86652,86653,86654,87498,88629,93646,104544,104545,104546,104547,105552,105553,105566,105567,105568,105569,105730,108515,109843		[alias='fibroblast' (type alias)] Cistrome sample ID(s): 1820,1821,1822,1891,6383,6384,6385,34298,39825,39828,39837,41276,41277,41622,45467,45497,49412,49413,50354,50355,53130,55895,61976,61977,61978,62055,62056,62057,62068,62069,62070,62071,62072,62199,62200,62201,66287,66288,66289,66290,66291,66292,66293,66294,66454,66460,66461,66462,66463,66464,66465,67030,67031,69207,81285,81374,81377,81698,81699,81701,81824,82521,82522,82646,82647,83596,85522,86651,86652,86653,86654,87498,88629,93646,104544,104545,104546,104547,105552,105553,105566,105567,105568,105569,105730,108515,109843
