lincs_cell_id	mark	source_used	genome_build	notes
NPC.TAK	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NPC.TAK	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
OV7	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
OV7	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
OV7	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
PC3	ATAC-seq	encode	GRCh38	ENCODE Experiment(s): ENCSR499ASS
PC3	H3K27ac	encode	GRCh38	ENCODE Experiment(s): ENCSR826UTD
PC3	H3K27me3	encode	GRCh38	ENCODE Experiment(s): ENCSR881TWJ
PHH	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
PHH	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
PHH	H3K27me3	cistrome	hg19	Cistrome sample ID(s): 105438,105439
PL21	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
PL21	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
PL21	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
RKO	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 78447
RKO	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 81692
RKO	H3K27me3	epimap	hg19	EpiMap imputed track, biosample ID: BSS01535 [perturb=null confirmed]
RMGI	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
RMGI	H3K27ac	cistrome	hg19	Cistrome sample ID(s): 94551,107425,107426
RMGI	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
RMUGS	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
RMUGS	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
RMUGS	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKB	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKB	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKB	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKBR3	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 78238,78239,78240
SKBR3	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 87173,87174
SKBR3	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 51798,87171,87172
SKL	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKL	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKL	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKL.C	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKL.C	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKL.C	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKLU1	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKLU1	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKLU1	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKM1	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKM1	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 57579,57580,57581,57582,57583,57584,57585,57586
SKM1	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 57603,57604,57605,57606,57607,57608,57609,57610
SKMEL1	ATAC-seq	cistrome	hg19	Cistrome sample ID(s): 79020
SKMEL1	H3K27ac	cistrome	hg19	Cistrome sample ID(s): 85884
SKMEL1	H3K27me3	cistrome	hg19	Cistrome sample ID(s): 85643
SKMEL28	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKMEL28	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SKMEL28	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 43882
SNGM	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SNGM	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SNGM	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SNU1040	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SNU1040	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SNU1040	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SNUC4	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SNUC4	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SNUC4	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SNUC5	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SNUC5	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SNUC5	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SW480	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 52052,78450
SW480	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 61969,66812,84219,85655
SW480	H3K27me3	epimap	hg19	EpiMap imputed track, biosample ID: BSS01682 [perturb=null confirmed]
SW620	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SW620	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 81690
SW620	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SW948	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SW948	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
SW948	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
T3M10	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
T3M10	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
T3M10	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
THP1	ATAC-seq	cistrome	hg19	Cistrome sample ID(s): 65797,65798,65799,65800,65801,65802,65803,65804,65805,65806,65807,65808,65809,65810,65811,65812
THP1	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 66631,66836,66837,66838,66839,90572,92937,94180,94181,94188,94189,94191,99714,99715,106386,106882,107548,107549,107550,107551
THP1	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
TYKNU	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
