pathway_id	pathway_name	n_landmark_genes	landmark_gene_symbols
R-HSA-109581	Apoptosis	33	AKT1,BAD,BAX,BCL2,BID,BIRC2,CASP3,CASP7,CDKN2A,CFLAR,CYCS,DFFA,DFFB,DNM1L,DSG2,FAS,NMT1,PMAIP1,PPP1R13B,PRKCD,PRKCQ,PSMD2,PTK2,SATB1,SFN,SPTAN1,STAT3,TFDP1,TICAM1,TJP1,TLR4,TP53,TP53BP2
R-HSA-109582	Hemostasis	66	ABHD6,ABL1,AKT1,ALDOA,APP,ATP1B1,CALU,CD44,CD58,CDC42,CDK2,CENPE,COL1A1,CRK,CSK,EGF,FYN,GATA2,GATA3,GNA11,GNA15,GNAI1,GNAI2,GNAS,GNB5,GPC1,GRB7,HDAC2,HMG20B,KIF20A,KIF2C,KIF5C,LYN,MIF,MMP1,NOS3,NRAS,PDGFA,PIK3CA,PIK3R3,PLA2G4A,PPP2R5A,PPP2R5E,PRKACA,PRKCD,PRKCH,PRKCQ,PROS1,PTK2,PTPN1,PTPN6,RAC2,RAD51C,RHOA,SCCPDH,SERPINE1,SHC1,SRC,STX4,STXBP2,SYK,TBXA2R,TGFB3,TP53,TUBB6,VAV3
R-HSA-109606	Intrinsic Pathway for Apoptosis	17	AKT1,BAD,BAX,BCL2,BID,CASP3,CASP7,CDKN2A,CYCS,NMT1,PMAIP1,PPP1R13B,SFN,STAT3,TFDP1,TP53,TP53BP2
R-HSA-109704	PI3K Cascade	7	FGFR2,FGFR4,FRS2,PIK3C3,PIK3CA,PIK3R4,TRIB3
R-HSA-110312	Translesion synthesis by REV1	6	PCNA,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	9	PCNA,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3,UBE2L6
R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	9	PCNA,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3,USP1
R-HSA-110320	Translesion Synthesis by POLH	6	PCNA,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	12	LIG1,PARP1,PARP2,PCNA,POLB,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-111447	Activation of BAD and translocation to mitochondria	5	AKT1,BAD,BCL2,BID,SFN
R-HSA-111453	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	5	BAD,BCL2,BID,PMAIP1,STAT3
R-HSA-111465	Apoptotic cleavage of cellular proteins	10	BIRC2,CASP3,CASP7,DSG2,PRKCD,PRKCQ,PTK2,SATB1,SPTAN1,TJP1
R-HSA-111471	Apoptotic factor-mediated response	5	BAX,CASP3,CASP7,CDKN2A,CYCS
R-HSA-111885	Opioid Signalling	11	CREB1,GNA11,GNA15,GNAI1,GNAI2,GNB5,PLA2G4A,PLCB3,PRKACA,PRKCD,PRKX
R-HSA-111996	Ca-dependent events	5	CREB1,PLA2G4A,PRKACA,PRKCD,PRKX
R-HSA-112040	G-protein mediated events	10	CREB1,GNA11,GNA15,GNAI1,GNAI2,PLA2G4A,PLCB3,PRKACA,PRKCD,PRKX
R-HSA-112043	PLC beta mediated events	8	CREB1,GNA11,GNA15,PLA2G4A,PLCB3,PRKACA,PRKCD,PRKX
R-HSA-112310	Neurotransmitter release cycle	5	CASK,HSPA8,SNAP25,STX1A,STXBP1
R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	13	CASK,CREB1,GNAI1,GNAI2,GNB5,NRAS,PLCB3,PRKACA,PRKAG2,PRKX,RPS6KA1,SRC,TUBB6
R-HSA-112315	Transmission across Chemical Synapses	17	CASK,CREB1,GNAI1,GNAI2,GNB5,HSPA8,NRAS,PLCB3,PRKACA,PRKAG2,PRKX,RPS6KA1,SNAP25,SRC,STX1A,STXBP1,TUBB6
R-HSA-112316	Neuronal System	21	CASK,CREB1,EPB41L2,GNAI1,GNAI2,GNB5,HOMER2,HSPA8,KCNK1,NRAS,PLCB3,PRKACA,PRKAG2,PRKX,PTPRF,RPS6KA1,SNAP25,SRC,STX1A,STXBP1,TUBB6
R-HSA-112382	Formation of RNA Pol II elongation complex	6	CCNH,CDK7,MNAT1,PAF1,POLR2I,POLR2K
R-HSA-112399	IRS-mediated signalling	8	FGFR2,FGFR4,FRS2,NRAS,PIK3C3,PIK3CA,PIK3R4,TRIB3
R-HSA-113418	Formation of the Early Elongation Complex	5	CCNH,CDK7,MNAT1,POLR2I,POLR2K
R-HSA-113510	E2F mediated regulation of DNA replication	5	CCNB1,CDK1,ORC1,RB1,TFDP1
R-HSA-114452	Activation of BH3-only proteins	10	AKT1,BAD,BCL2,BID,PMAIP1,PPP1R13B,SFN,TFDP1,TP53,TP53BP2
R-HSA-114604	GPVI-mediated activation cascade	11	CDC42,COL1A1,FYN,LYN,PIK3CA,PIK3R3,PTPN6,RAC2,RHOA,SYK,VAV3
R-HSA-114608	Platelet degranulation	10	ALDOA,APP,CALU,EGF,PDGFA,PROS1,SCCPDH,SERPINE1,STXBP2,TGFB3
R-HSA-1168372	Downstream signaling events of B Cell Receptor (BCR)	9	IKBKB,MALT1,NFATC3,NFKBIA,NFKBIB,NFKBIE,NRAS,PSMD2,SKP1
R-HSA-1169091	Activation of NF-kappaB in B cells	7	IKBKB,MALT1,NFKBIA,NFKBIB,NFKBIE,PSMD2,SKP1
R-HSA-1169408	ISG15 antiviral mechanism	11	BECN1,EIF4G1,NUP133,NUP62,NUP85,NUP88,NUP93,PIN1,RAE1,STAT1,UBE2L6
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	22	BECN1,CDK1,EIF4G1,HSPA1A,HSPA8,IKBKB,NCK1,NUP133,NUP62,NUP85,NUP88,NUP93,PIN1,PPP2R5A,RAE1,SFN,SNCA,STAT1,STAT3,TP53,TUBB6,UBE2L6
R-HSA-1221632	Meiotic synapsis	6	ACD,BRCA1,SMC1A,SMC3,SYNE2,TERF2IP
R-HSA-1226099	Signaling by FGFR in disease	11	FGFR2,FGFR4,FRS2,NRAS,PIK3CA,POLR2I,POLR2K,STAT1,STAT3,STAT5B,ZMYM2
R-HSA-1227986	Signaling by ERBB2	15	AKT1,EGF,EGFR,ERBB2,ERBB3,FYN,GRB7,NRAS,PIK3CA,PRKCD,PTPN12,RHOA,SHC1,SRC,STUB1
R-HSA-1227990	Signaling by ERBB2 in Cancer	8	EGF,EGFR,ERBB2,ERBB3,NRAS,PIK3CA,PTPN12,SHC1
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	5	EGF,EGFR,NRAS,PIK3CA,SHC1
R-HSA-1236394	Signaling by ERBB4	9	APOE,EGF,EGFR,ERBB3,NRAS,PIK3CA,SHC1,SRC,STMN1
R-HSA-1236974	ER-Phagosome pathway	9	BTK,IKBKB,PSMB10,PSMB8,PSMD2,PSME1,PSME2,STX4,TLR4
R-HSA-1236975	Antigen processing-Cross presentation	11	BTK,CTSL,IKBKB,ITGB5,PSMB10,PSMB8,PSMD2,PSME1,PSME2,STX4,TLR4
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	5	PSMB10,PSMB8,PSMD2,PSME1,PSME2
R-HSA-1250196	SHC1 events in ERBB2 signaling	8	EGF,EGFR,ERBB2,ERBB3,NRAS,PRKCD,PTPN12,SHC1
R-HSA-1257604	PIP3 activates AKT signaling	41	AKT1,BAD,CDKN1A,CDKN1B,CREB1,CSNK2A2,EED,EGF,EGFR,EGR1,ERBB2,ERBB3,EZH2,FGFR2,FGFR4,FOXO3,FOXO4,FRS2,FYN,HDAC2,IER3,JUN,KIT,MTA1,PDGFA,PIK3CA,PIK3R3,PIP4K2B,PPARG,PPP2R5A,PPP2R5E,PSMD2,RAC2,RHEB,RRAGA,SRC,STUB1,SUZ12,TP53,TRIB3,USP7
R-HSA-1266695	Interleukin-7 signaling	5	PIK3R3,SMARCA4,SOCS2,STAT3,STAT5B
R-HSA-1268020	Mitochondrial protein import	7	HSPD1,SLC25A13,SLC25A4,TIMM17B,TIMM22,TIMM9,VDAC1
R-HSA-1362277	Transcription of E2F targets under negative control by DREAM complex	5	CDC25A,MYC,PCNA,TFDP1,TOP2A
R-HSA-141424	Amplification of signal from the kinetochores	13	AURKB,BIRC5,BUB1B,CDC20,CENPE,KIF2C,NUP133,NUP85,PAFAH1B1,PLK1,PPP2R5A,PPP2R5E,ZW10
R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	13	AURKB,BIRC5,BUB1B,CDC20,CENPE,KIF2C,NUP133,NUP85,PAFAH1B1,PLK1,PPP2R5A,PPP2R5E,ZW10
R-HSA-1428517	Aerobic respiration and respiratory electron transport	16	CYCS,DLD,ETFB,GSTZ1,ME2,MPC2,NNT,OXA1L,PDHX,SDHB,SIRT3,SLC25A13,SLC25A14,SLC25A4,TRAP1,VDAC1
R-HSA-1433557	Signaling by SCF-KIT	14	CHEK1,FYN,GRB10,GRB7,KIT,LYN,NRAS,PIK3CA,PIK3R3,PTPN6,SRC,STAT1,STAT3,STAT5B
R-HSA-1433559	Regulation of KIT signaling	5	FYN,KIT,LYN,PTPN6,SRC
R-HSA-1442490	Collagen degradation	7	ADAM10,COL1A1,COL4A1,CTSD,CTSL,MMP1,MMP2
R-HSA-1445148	Translocation of SLC2A4 (GLUT4) to the plasma membrane	8	AKT1,C2CD5,PRKAG2,RAB4A,RALA,SFN,STX4,TUBB6
R-HSA-1474165	Reproduction	14	ACD,BMP4,BRCA1,CDK2,CDK4,CXCR4,RAD51C,RPA1,RPA2,RPA3,SMC1A,SMC3,SYNE2,TERF2IP
R-HSA-1474228	Degradation of the extracellular matrix	15	ADAM10,CAPN1,CASP3,CAST,CD44,COL1A1,COL4A1,CTSD,CTSL,HTRA1,LAMA3,MMP1,MMP2,SPP1,TIMP2
R-HSA-1474244	Extracellular matrix organization	32	ADAM10,APP,BMP4,CAPN1,CASK,CASP3,CAST,CD44,COL1A1,COL4A1,CRTAP,CTSD,CTSL,DAG1,DDR1,HTRA1,ICAM1,ICAM3,ITGAE,ITGB5,LAMA3,LOXL1,MMP1,MMP2,P4HA2,PDGFA,PLOD3,SERPINE1,SGCB,SPP1,TGFB3,TIMP2
R-HSA-1474290	Collagen formation	8	COL1A1,COL4A1,CRTAP,CTSL,LAMA3,LOXL1,P4HA2,PLOD3
R-HSA-1483206	Glycerophospholipid biosynthesis	7	ABHD4,CPNE3,CSNK2A2,LPGAT1,MBOAT7,PLA2G15,PLA2G4A
R-HSA-1483249	Inositol phosphate metabolism	9	INPP1,INPP4B,NUP133,NUP62,NUP85,NUP88,NUP93,PLCB3,RAE1
R-HSA-1483255	PI Metabolism	10	GDPD5,INPP4B,PIK3C2B,PIK3C3,PIK3CA,PIK3R3,PIK3R4,PIP4K2B,RAB4A,SACM1L
R-HSA-1483257	Phospholipid metabolism	17	ABHD4,CPNE3,CSNK2A2,GDPD5,INPP4B,LPGAT1,MBOAT7,PIK3C2B,PIK3C3,PIK3CA,PIK3R3,PIK3R4,PIP4K2B,PLA2G15,PLA2G4A,RAB4A,SACM1L
R-HSA-1500620	Meiosis	12	ACD,BRCA1,CDK2,CDK4,RAD51C,RPA1,RPA2,RPA3,SMC1A,SMC3,SYNE2,TERF2IP
R-HSA-1500931	Cell-Cell communication	36	BIRC2,CASK,CDC42,CDH3,CSNK2A2,CTNND1,CTSL,EED,EZH2,FYN,HDAC2,ILK,IQGAP1,LAMA3,MYC,NCK1,NCK2,PIK3CA,PSMD2,PTK2,PTK2B,PTPN6,PXN,RB1,RPN1,RSU1,SMARCA4,SPTAN1,SRC,STAT3,SUZ12,TESK1,TFAP2A,TIAM1,TLE1,ZMYM2
R-HSA-1538133	G0 and Early G1	11	CCNA1,CCNA2,CCNE2,CDC25A,CDK1,CDK2,MYBL2,MYC,PCNA,TFDP1,TOP2A
R-HSA-156580	Phase II - Conjugation of compounds	6	CHAC1,CNDP2,GSTM2,GSTZ1,MAT2A,UGDH
R-HSA-156711	Polo-like kinase mediated events	5	CCNB1,CCNB2,CDC25A,MYBL2,PLK1
R-HSA-157118	Signaling by NOTCH	23	ADAM10,AKT1,CCND1,CREB1,EGF,EGFR,HDAC2,HDAC6,HES1,HIF1A,IKZF1,JUN,MAMLD1,MYC,NOTCH1,PSMD2,RFNG,SKP1,SMAD3,STAT1,TFDP1,TLE1,TP53
R-HSA-157579	Telomere Maintenance	18	ACD,CCNA1,CCNA2,CDK2,DAXX,LIG1,PCNA,POLD4,POLR2I,POLR2K,RFC2,RFC5,RPA1,RPA2,RPA3,RUVBL1,TERF2IP,TERT
R-HSA-157858	Gap junction trafficking and regulation	6	CLTB,CLTC,DNM1,SRC,TJP1,TUBB6
R-HSA-15869	Metabolism of nucleotides	8	DCK,DCTD,GLRX,HPRT1,NUDT9,PAICS,PNP,TXNRD1
R-HSA-1592230	Mitochondrial biogenesis	8	ALAS1,CREB1,CYCS,GABPB1,MEF2C,POLG2,PRKAG2,SIRT3
R-HSA-159227	Transport of the SLBP independent Mature mRNA	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-159230	Transport of the SLBP Dependant Mature mRNA	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-159231	Transport of Mature mRNA Derived from an Intronless Transcript	7	CPSF4,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-159234	Transport of Mature mRNAs Derived from Intronless Transcripts	7	CPSF4,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	8	CASC3,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1,RNPS1
R-HSA-1606322	ZBP1(DAI) mediated induction of type I IFNs	5	IKBKB,NFKB2,NFKBIA,NFKBIB,TICAM1
R-HSA-162587	HIV Life Cycle	22	CCNH,CDK7,CHMP4A,CHMP6,CXCR4,GTF2A2,GTF2E2,LIG1,MNAT1,NMT1,NUP133,NUP62,NUP85,NUP88,NUP93,POLR2I,POLR2K,PSIP1,RAE1,RNMT,TBP,VPS28
R-HSA-162599	Late Phase of HIV Life Cycle	19	CCNH,CDK7,CHMP4A,CHMP6,GTF2A2,GTF2E2,MNAT1,NMT1,NUP133,NUP62,NUP85,NUP88,NUP93,POLR2I,POLR2K,RAE1,RNMT,TBP,VPS28
R-HSA-162906	HIV Infection	26	CCNH,CDK7,CHMP4A,CHMP6,CXCR4,FYN,GTF2A2,GTF2E2,LIG1,MNAT1,NMT1,NUP133,NUP62,NUP85,NUP88,NUP93,POLR2I,POLR2K,PSIP1,PSMD2,RAE1,RNMT,SKP1,SLC25A4,TBP,VPS28
R-HSA-162909	Host Interactions of HIV factors	11	FYN,NUP133,NUP62,NUP85,NUP88,NUP93,PSIP1,PSMD2,RAE1,SKP1,SLC25A4
R-HSA-1630316	Glycosaminoglycan metabolism	9	ABCC5,B4GAT1,CD44,CHP1,CTSL,EXT1,FAM20B,GPC1,HS2ST1
R-HSA-1632852	Macroautophagy	17	ATG3,BECN1,CHMP4A,CHMP6,CSNK2A2,HDAC6,HSPA8,MTERF3,PIK3C3,PIK3R4,PRKAG2,RHEB,RRAGA,SQSTM1,SRC,TUBB6,VDAC1
R-HSA-163685	Integration of energy metabolism	14	ACLY,GNA11,GNA15,GNAI1,GNAI2,GNAS,GNB5,IQGAP1,PLCB3,PRKACA,PRKAG2,SNAP25,STX1A,STXBP1
R-HSA-163841	Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation	5	DPH2,ICMT,JMJD6,PROS1,RPS6
R-HSA-1643713	Signaling by EGFR in Cancer	5	EGF,EGFR,NRAS,PIK3CA,SHC1
R-HSA-165054	Rev-mediated nuclear export of HIV RNA	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	5	COL1A1,COL4A1,CRTAP,P4HA2,PLOD3
R-HSA-165159	MTOR signalling	8	AKT1,CAB39,EIF4EBP1,EIF4G1,PRKAG2,RHEB,RPS6,RRAGA
R-HSA-1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)	6	ELOVL6,FDFT1,HMGCR,HMGCS1,INSIG1,MBTPS1
R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	26	APP,ATF1,BIRC2,BTK,CREB1,DNM1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,IKBKE,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TICAM1,TLR4,TP53,USP14
R-HSA-1660499	Synthesis of PIPs at the plasma membrane	6	INPP4B,PIK3C2B,PIK3CA,PIK3R3,PIP4K2B,RAB4A
R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	22	APP,ATF1,BTK,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TLR4,TP53,USP14
R-HSA-166166	MyD88-independent TLR4 cascade	24	APP,ATF1,BIRC2,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,IKBKE,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TICAM1,TLR4,TP53,USP14
R-HSA-166208	mTORC1-mediated signalling	5	EIF4EBP1,EIF4G1,RHEB,RPS6,RRAGA
R-HSA-166520	Signaling by NTRKs	34	ATF1,BAX,CDK5R1,CLTC,CREB1,CRK,CRKL,DNM1,DUSP3,DUSP4,DUSP6,EGR1,FOS,FOSL1,FRS2,FYN,ID2,MAP2K5,MAPK13,MAPKAPK2,MAPKAPK3,MEF2C,NRAS,PIK3CA,RALA,RALB,RALGDS,RHOA,RPS6KA1,SHC1,SRC,STAT3,TIAM1,TRIB1
R-HSA-167044	Signalling to RAS	9	MAPK13,MAPKAPK2,MAPKAPK3,NRAS,RALA,RALB,RALGDS,SHC1,SRC
R-HSA-167152	Formation of HIV elongation complex in the absence of HIV Tat	5	CCNH,CDK7,MNAT1,POLR2I,POLR2K
R-HSA-167158	Formation of the HIV-1 Early Elongation Complex	5	CCNH,CDK7,MNAT1,POLR2I,POLR2K
R-HSA-167160	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	6	CCNH,CDK7,MNAT1,POLR2I,POLR2K,RNMT
R-HSA-167161	HIV Transcription Initiation	8	CCNH,CDK7,GTF2A2,GTF2E2,MNAT1,POLR2I,POLR2K,TBP
R-HSA-167162	RNA Polymerase II HIV Promoter Escape	8	CCNH,CDK7,GTF2A2,GTF2E2,MNAT1,POLR2I,POLR2K,TBP
R-HSA-167169	HIV Transcription Elongation	5	CCNH,CDK7,MNAT1,POLR2I,POLR2K
R-HSA-167172	Transcription of the HIV genome	9	CCNH,CDK7,GTF2A2,GTF2E2,MNAT1,POLR2I,POLR2K,RNMT,TBP
R-HSA-167200	Formation of HIV-1 elongation complex containing HIV-1 Tat	5	CCNH,CDK7,MNAT1,POLR2I,POLR2K
R-HSA-167246	Tat-mediated elongation of the HIV-1 transcript	5	CCNH,CDK7,MNAT1,POLR2I,POLR2K
R-HSA-168138	Toll Like Receptor 9 (TLR9) Cascade	24	APP,ATF1,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,PIK3C3,PIK3R4,RPS6KA1,SKP1,TICAM1,TLR4,TP53,USP14
R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	20	APP,ATF1,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TP53,USP14
R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	23	APP,ATF1,BIRC2,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,IKBKE,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TICAM1,TP53,USP14
R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	20	APP,ATF1,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TP53,USP14
R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade	22	APP,ATF1,BTK,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TLR4,TP53,USP14
R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	22	APP,ATF1,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TICAM1,TLR4,TP53,USP14
R-HSA-168188	Toll Like Receptor TLR6:TLR2 Cascade	22	APP,ATF1,BTK,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TLR4,TP53,USP14
R-HSA-168255	Influenza Infection	15	CLTC,CPSF4,HSPA1A,NUP133,NUP62,NUP85,NUP88,NUP93,PARP1,POLR2I,POLR2K,RAE1,RPL39L,RPS5,RPS6
R-HSA-168271	Transport of Ribonucleoproteins into the Host Nucleus	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-168273	Influenza Viral RNA Transcription and Replication	12	NUP133,NUP62,NUP85,NUP88,NUP93,PARP1,POLR2I,POLR2K,RAE1,RPL39L,RPS5,RPS6
R-HSA-168274	Export of Viral Ribonucleoproteins from Nucleus	7	HSPA1A,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-168276	NS1 Mediated Effects on Host Pathways	7	CPSF4,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-168325	Viral Messenger RNA Synthesis	8	NUP133,NUP62,NUP85,NUP88,NUP93,POLR2I,POLR2K,RAE1
R-HSA-168333	NEP/NS2 Interacts with the Cellular Export Machinery	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	8	APP,BCL2,BIRC2,CASP2,HMOX1,IKBKB,MAPK13,NFKB2
R-HSA-168898	Toll-like Receptor Cascades	31	APP,ATF1,BIRC2,BTK,CNPY3,CREB1,CTSL,DNM1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,IKBKE,JUN,LGMN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,PIK3C3,PIK3R4,RPS6KA1,SKP1,TICAM1,TLR4,TP53,USP14
R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	9	APP,CASP10,IKBKB,IKBKE,NFKB2,NFKBIA,NFKBIB,PIN1,UBE2L6
R-HSA-170822	Regulation of Glucokinase by Glucokinase Regulatory Protein	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-170834	Signaling by TGF-beta Receptor Complex	12	BAMBI,ITGB5,MYC,PARP1,RHOA,SERPINE1,SMAD3,STAT1,STUB1,TFDP1,TGFB3,TGFBR2
R-HSA-171007	p38MAPK events	8	MAPK13,MAPKAPK2,MAPKAPK3,NRAS,RALA,RALB,RALGDS,SRC
R-HSA-171319	Telomere Extension By Telomerase	7	ACD,CCNA1,CCNA2,CDK2,RUVBL1,TERF2IP,TERT
R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	14	AURKA,AURKB,BUB1B,CCNA1,CCNA2,CCNB1,CDC20,CDK1,CDK2,PLK1,PSMD2,RB1,SKP1,UBE2C
R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	7	AURKA,AURKB,CDC20,PLK1,PSMD2,RB1,UBE2C
R-HSA-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	7	BUB1B,CCNA1,CCNA2,CDC20,CDK1,PSMD2,UBE2C
R-HSA-174411	Polymerase switching on the C-strand of the telomere	6	ACD,PCNA,POLD4,RFC2,RFC5,TERF2IP
R-HSA-174414	Processive synthesis on the C-strand of the telomere	8	ACD,LIG1,PCNA,POLD4,RPA1,RPA2,RPA3,TERF2IP
R-HSA-174417	Telomere C-strand (Lagging Strand) Synthesis	10	ACD,LIG1,PCNA,POLD4,RFC2,RFC5,RPA1,RPA2,RPA3,TERF2IP
R-HSA-174437	Removal of the Flap Intermediate from the C-strand	7	ACD,PCNA,POLD4,RPA1,RPA2,RPA3,TERF2IP
R-HSA-174824	Plasma lipoprotein assembly, remodeling, and clearance	9	APOE,CLTC,LIPA,LSR,MBTPS1,NPC1,NR1H2,PRKACA,SCARB1
R-HSA-176033	Interactions of Vpr with host cellular proteins	8	NUP133,NUP62,NUP85,NUP88,NUP93,PSIP1,RAE1,SLC25A4
R-HSA-176187	Activation of ATR in response to replication stress	12	CDC25A,CDC45,CDK2,CHEK1,MCM3,ORC1,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-176408	Regulation of APC/C activators between G1/S and early anaphase	11	BUB1B,CCNA1,CCNA2,CCNB1,CDC20,CDK1,CDK2,PLK1,PSMD2,SKP1,UBE2C
R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	8	BUB1B,CCNA1,CCNA2,CCNB1,CDC20,CDK1,PSMD2,UBE2C
R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	9	BUB1B,CCNA1,CCNA2,CCNB1,CDC20,CDK1,PLK1,PSMD2,UBE2C
R-HSA-177243	Interactions of Rev with host cellular proteins	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-177929	Signaling by EGFR	12	ADAM10,CDC42,CSK,EGF,EGFR,NRAS,PIK3CA,PTPN12,PTPRK,PXN,SHC1,SRC
R-HSA-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	7	BUB1B,CCNA1,CCNA2,CDC20,CDK1,PSMD2,UBE2C
R-HSA-180292	GAB1 signalosome	6	CSK,EGF,EGFR,PIK3CA,PXN,SRC
R-HSA-180746	Nuclear import of Rev protein	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-180786	Extension of Telomeres	15	ACD,CCNA1,CCNA2,CDK2,LIG1,PCNA,POLD4,RFC2,RFC5,RPA1,RPA2,RPA3,RUVBL1,TERF2IP,TERT
R-HSA-180910	Vpr-mediated nuclear import of PICs	7	NUP133,NUP62,NUP85,NUP88,NUP93,PSIP1,RAE1
R-HSA-1810476	RIP-mediated NFkB activation via ZBP1	5	IKBKB,NFKB2,NFKBIA,NFKBIB,TICAM1
R-HSA-181438	Toll Like Receptor 2 (TLR2) Cascade	22	APP,ATF1,BTK,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TLR4,TP53,USP14
R-HSA-182971	EGFR downregulation	5	CDC42,EGF,EGFR,PTPN12,PTPRK
