pathway_id	pathway_name	n_landmark_genes	landmark_gene_symbols
R-HSA-5653656	Vesicle-mediated transport	60	ACBD3,ADRB2,AKT1,APOE,APP,ARFIP2,C2CD5,CENPE,CHMP4A,CHMP6,CLTB,CLTC,COG2,COG4,COG7,COL1A1,COL4A1,COPB2,COPS7A,CTTN,CYTH1,DENND2D,DNM1,EGF,EGFR,EPN2,FCHO1,HSPA8,HYOU1,IGF2R,KDELR2,KIF20A,KIF2C,KIF5C,PACSIN3,PAFAH1B1,PAFAH1B3,PLA2G4A,PRKAG2,RAB21,RAB27A,RAB31,RAB4A,RALA,SCARB1,SFN,SPTAN1,SRC,STX4,TJP1,TMED10,TOR1A,TRAPPC3,TRAPPC6A,TUBB6,UBQLN2,USP6NL,VPS28,YKT6,ZW10
R-HSA-5654696	Downstream signaling of activated FGFR2	5	FGFR2,FRS2,NRAS,PIK3CA,SHC1
R-HSA-5654716	Downstream signaling of activated FGFR4	5	FGFR4,FRS2,NRAS,PIK3CA,SHC1
R-HSA-5654736	Signaling by FGFR1	7	FRS2,MKNK1,NRAS,PIK3CA,SHC1,SPRED2,SRC
R-HSA-5654738	Signaling by FGFR2	9	FGFR2,FRS2,MKNK1,NRAS,PIK3CA,POLR2I,POLR2K,SHC1,SRC
R-HSA-5654741	Signaling by FGFR3	6	FRS2,MKNK1,NRAS,PIK3CA,SHC1,SRC
R-HSA-5654743	Signaling by FGFR4	7	FGFR4,FRS2,MKNK1,NRAS,PIK3CA,SHC1,SRC
R-HSA-5655253	Signaling by FGFR2 in disease	6	FGFR2,FRS2,NRAS,PIK3CA,POLR2I,POLR2K
R-HSA-5655302	Signaling by FGFR1 in disease	7	FRS2,NRAS,PIK3CA,STAT1,STAT3,STAT5B,ZMYM2
R-HSA-5655862	Translesion synthesis by POLK	6	PCNA,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-5656121	Translesion synthesis by POLI	6	PCNA,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-5656169	Termination of translesion DNA synthesis	9	PCNA,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3,UBE2L6
R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	60	ADAM10,AKT1,AXIN1,BAD,CCNB1,CDKN1A,CDKN1B,CLTC,CREB1,CSK,CSNK1A1,DNMT1,DUSP6,EGF,EGFR,ERBB2,ERBB3,FGFR2,FGFR4,FOXO3,FOXO4,FRS2,FYN,HDAC2,HDAC6,HES1,IQGAP1,JUN,KIT,LYN,MAMLD1,MAPK9,MYC,NOTCH1,NRAS,PDGFA,PIK3CA,PIK3R3,POLR2I,POLR2K,PPP2R5A,PPP2R5E,PSMD2,PTPN12,PTPN6,RAC2,RB1,RPS6,SHC1,SKP1,SMAD3,SPRED2,SQSTM1,SRC,STAT1,STAT3,STAT5B,TGFBR2,TP53,ZMYM2
R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs	7	ABL1,BTK,CDC42,NCK1,PTK2,WASF3,WIPF2
R-HSA-5663220	RHO GTPases Activate Formins	18	AURKB,BIRC5,BUB1B,CDC20,CDC42,CENPE,EVL,KIF2C,NUP133,NUP85,PAFAH1B1,PLK1,PPP2R5A,PPP2R5E,RHOA,SRC,TUBB6,ZW10
R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	6	BIRC2,CD40,NFKB2,PSMD2,RELB,SKP1
R-HSA-5668599	RHO GTPases Activate NADPH Oxidases	5	PIK3C3,PIK3R4,PIN1,PRKCD,RAC2
R-HSA-5668914	Diseases of metabolism	19	B4GAT1,CD320,DAG1,DHDDS,DLD,EXT1,GAA,GALE,GFPT1,GPC1,HPRT1,MUC1,NOTCH1,PCCB,PGM1,PMM2,PNP,RPIA,SLC37A4
R-HSA-5673001	RAF/MAP kinase cascade	29	CSK,DUSP4,DUSP6,EGF,EGFR,ERBB2,ERBB3,FGFR2,FGFR4,FRS2,FYN,ICMT,IQGAP1,KIT,LYPLA1,NRAS,PDGFA,PIK3CA,PPP2R5A,PPP2R5E,PRKCQ,PSMD2,PTK2,RALGDS,RASA1,SHC1,SPRED2,SPTAN1,SRC
R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer	7	AKT1,BAD,CDKN1A,CDKN1B,CREB1,FOXO3,FOXO4
