source	term_id	term_name	n_landmark_genes	landmark_gene_symbols
GO:BP	GO:0006996	Organelle Organization	43	APOE,CCL2,CDC42,CHMP4A,CHMP6,COG2,COG4,COG7,CSNK1A1,DNAJA3,DNM1L,DYRK3,GABPB1,HAT1,HSD17B10,KAT6A,KIF5C,MAST2,MCOLN1,MTFR1,MYC,NOL3,NOS3,PACSIN3,PAK4,PAK6,PARP1,PEX11A,RAB31,RB1,REEP5,SNX11,STX4,TERT,TMED10,TOR1A,TPM1,USP6NL,VAPB,WASF3,YME1L1,YTHDF1,ZW10
GO:BP	GO:0007005	Mitochondrion Organization	25	BAX,BID,BNIP3,BNIP3L,DNAJA3,DNM1L,FBXO7,FIS1,GABPB1,HSD17B10,HSPD1,MTFR1,NOS3,OXA1L,PARP1,SLC25A4,SLC25A46,SUPV3L1,TERT,TIMM17B,TIMM9,TOMM34,TOMM70,TRAK2,YME1L1
GO:BP	GO:0007010	Cytoskeleton Organization	10	APOE,CCL2,MAST2,NOL3,PACSIN3,PAK4,PAK6,PPP2R3C,TPM1,WASF3
GO:BP	GO:0007015	Actin Filament Organization	10	ALDOA,ARHGEF2,CARMIL1,CDC42,CORO1A,EVL,FAT1,PLS1,RAC2,TPM1
GO:BP	GO:0007030	Golgi Organization	10	CDC42,CDK1,COG2,COG4,COG7,CSNK1A1,STK25,TMED10,USP6NL,ZW10
GO:BP	GO:0007041	Lysosomal Transport	11	BECN1,CHMP4A,CHMP6,GRN,HOOK2,HSPA1A,IGF2R,NPC1,PIK3C3,PIK3R4,PLEKHM1
GO:BP	GO:0007052	Mitotic Spindle Organization	11	AURKA,AURKB,BIRC5,CCNB1,CENPE,CHEK2,PLK1,RHOA,SMC1A,SMC3,STMN1
GO:BP	GO:0007080	Mitotic Metaphase Plate Congression	12	BECN1,CCNB1,CENPE,CHMP4A,CHMP6,EML3,KIF14,KIF2C,NUP62,PSRC1,RRS1,ZW10
GO:BP	GO:0007088	Regulation Of Mitotic Nuclear Division	10	AURKA,BMP4,CCNB1,CHEK1,EDN1,EGF,IL1B,NUP62,NUSAP1,PIN1
GO:BP	GO:0007141	Male Meiosis I	2	CCNA1,FOXJ3
GO:BP	GO:0007160	Cell-Matrix Adhesion	10	CD44,CTTN,DDR1,ILK,ITGAE,ITGB1BP1,ITGB5,PTPRK,SRC,TIAM1
GO:BP	GO:0007162	Negative Regulation Of Cell Adhesion	12	ADAM10,EPHB2,ERBB3,FZD7,ITGB1BP1,MUC1,NOTCH1,PTK2,PTPRC,RASA1,RHOA,SERPINE1
GO:BP	GO:0007167	Enzyme-Linked Receptor Protein Signaling Pathway	12	DDR1,EGFR,ERBB2,ERBB3,FGFR2,FGFR4,FRS2,FYN,LYN,MPZL1,PTPRF,SYK
GO:BP	GO:0007169	Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway	47	ADRB2,AKT1,CASP3,CDK5R1,CEP57,CHN1,CRK,DDIT4,DDR1,EGFR,EPHA3,EPHB2,ERBB2,ERBB3,FGFR2,FGFR4,FOXO4,FRS2,FYN,GHR,GRB10,GRB7,IDE,IGF1R,KIT,LYN,MAPKAPK2,MAPKAPK3,MMP2,MPZL1,MVP,NFATC4,PAK1,PDGFA,PIK3CA,PIK3R3,PTK2,PTK2B,PXN,RASA1,SHC1,SOCS2,SRC,STAT3,STMN1,SYK,TIAM1
GO:BP	GO:0007173	Epidermal Growth Factor Receptor Signaling Pathway	12	AKT1,EGF,EGFR,ERBB2,GRB7,IQGAP1,NCK2,PIK3CA,PTK2,PTK2B,SHC1,SRC
GO:BP	GO:0007178	Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway	17	BAMBI,BMP4,FOS,ITGB5,JUN,NUP93,PPARG,PTK2,PTPRK,PXN,SMAD3,SRC,STAT3,STUB1,TGFB3,TGFBR2,ZMIZ1
GO:BP	GO:0007179	Transforming Growth Factor Beta Receptor Signaling Pathway	13	BAMBI,FOS,ITGB5,JUN,PTK2,PTPRK,PXN,SMAD3,SRC,STAT3,TGFB3,TGFBR2,ZMIZ1
GO:BP	GO:0007188	Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway	10	ADGRE5,ADGRG1,ADRB2,GNA11,GNA15,GNAI1,GNAI2,GNAS,GPER1,TBXA2R
GO:BP	GO:0007229	Integrin-Mediated Signaling Pathway	10	ADAM10,CDC42,ILK,ITGAE,ITGB1BP1,ITGB5,PTK2,PTK2B,SRC,SYK
GO:BP	GO:0007264	Small GTPase Mediated Signal Transduction	19	ARFIP2,ARHGAP1,CCNA2,CDK2,CDKN1A,CDKN2A,CHP1,CRKL,G3BP1,HACD3,MAPKAPK5,NRAS,NUCB2,RALA,RALB,RALGDS,RB1,TIAM1,TP53
