pert_id	pert_iname	n_sigs	canonical_smiles
BRD-A09094913	strychnine	23	O=C1CC2OCC=C3CN4CC[C@@]56C4C[C@@H]3[C@@H]2C5N1c1ccccc61
BRD-A09161221	nomilin	8	CC(=O)O[C@@H]1CC(=O)OC(C)(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@]543)c6ccoc6)[C@]21C
BRD-A09164687	BRD-A09164687	17	Cc1cc(C)c(OCC(O)CNC(C)(C)C)c(C)c1
BRD-A09186529	ST-024029	17	OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)/C=C/c3ccccn3
BRD-A09349126	norethindrone	57	CC(=O)O[C@]1(CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21C)C#C
BRD-A09467419	mebeverine	26	CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1
BRD-A09472452	flecainide	80	FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC1CCCCN1
BRD-A09495397	bicuculline	11	CN1CCc2cc3OCOc3cc2[C@H]1C4OC(=O)c5c6OCOc6ccc45
BRD-A09533288	verapamil	140	COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC
BRD-A09539288	homatropine	15	CN1C2CC[C@H]1C[C@H](C2)OC(=O)C(O)c1ccccc1
BRD-A09719808	BRD-A09719808	14	CCC(OC(=O)c1ccc(c(c1)[N+]([O-])=O)S(C)(=O)=O)C(=O)NC1C2CC3CC(C2)CC1C3
BRD-A09722536	cyclophosphamide	29	ClCCN(CCCl)P1(=O)NCCCO1
BRD-A09749088	ST-023431	17	C[C@]1(CCC[C@]2(C)[C@H]3CC(O)[C@](C)(C=C)C=C3CC[C@@H]12)C(=O)O
BRD-A09828896	SKF-81297	25	Oc1cc2C(CNCCc2c(Cl)c1O)c1ccccc1
BRD-A09925278	etilefrine	19	CCNCC(O)c1cccc(O)c1
BRD-A09984573	BRD-A09984573	17	CSC1=C(C#N)C(=O)NC(S1)c2ccc(Cl)cc2
BRD-A10012892	argatroban	42	C[C@@H]1CCN([C@@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)c1cccc2CC(C)CNc12
BRD-A10039652	tipranavir	42	CCC[C@@]1(CCc2ccccc2)CC(=O)C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(cn3)C(F)(F)F)c2)C(=O)O1
BRD-A10070317	propranolol	55	CC(C)NCC(O)COc1cccc2ccccc12
BRD-A10188456	dexamethasone	23	C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
BRD-A10303790	talampicillin	23	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC4OC(=O)c5ccccc45
BRD-A10330754	BRD-A10330754	17	Clc1ccc(Cn2cc(NC(=S)NCC3CCCO3)cn2)cc1
BRD-A10355991	norketamine	19	NC1(CCCCC1=O)c2ccccc2Cl
BRD-A10386413	ascorbic-acid	6	OCC(O)C1OC(=O)C(=O)C1O
BRD-A10396145	vanillyl-glycol	6	COc1cc(CC(O)CO)ccc1O
BRD-A10420615	cyclopiazonic-acid	19	CC(=O)C1C(=O)[C@@H]2[C@@H]3[C@@H](Cc4cccc5[nH]cc3c45)C(C)(C)N2C1=O
BRD-A10523515	GSK-429286A	194	CC1=C(C(CC(=O)N1)c1ccc(cc1)C(F)(F)F)C(=O)Nc1cc2cn[nH]c2cc1F
BRD-A10606614	talampicillin	4	CC1(C)S[C@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc12
BRD-A10662413	prenylamine	4	CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1
BRD-A10715913	sulpiride	18	CCN1CCC(CNC(=O)c2cc(ccc2OC)S(=O)(=O)N)C1
BRD-A10903566	imiloxan	57	CCn1ccnc1CC1COc2ccccc2O1
BRD-A10967948	granisetron	42	CN1C2CCCC1CC(C2)NC(=O)c1nn(C)c2ccccc12
