gene_symbol	entrez_id	ccle_match_status	hgnc_locus_group	hgnc_id	secondary_source_available	notes
FAH	2184	matched_entrez			False	CCLE column FAH (2184)
POP4	10775	matched_entrez			False	CCLE column POP4 (10775)
CDC20	991	matched_entrez			False	CCLE column CDC20 (991)
CYTH1	9267	matched_entrez			False	CCLE column CYTH1 (9267)
DDIT4	54541	matched_entrez			False	CCLE column DDIT4 (54541)
MAP7	9053	matched_entrez			False	CCLE column MAP7 (9053)
NIT1	4817	matched_entrez			False	CCLE column NIT1 (4817)
NUP88	4927	matched_entrez			False	CCLE column NUP88 (4927)
WFS1	7466	matched_entrez			False	CCLE column WFS1 (7466)
ADGRE5	976	matched_entrez			False	CCLE column ADGRE5 (976)
MSH6	2956	matched_entrez			False	CCLE column MSH6 (2956)
FAM20B	9917	matched_entrez			False	CCLE column FAM20B (9917)
PIN1	5300	matched_entrez			False	CCLE column PIN1 (5300)
ETFB	2109	matched_entrez			False	CCLE column ETFB (2109)
FPGS	2356	matched_entrez			False	CCLE column FPGS (2356)
FHL2	2274	matched_entrez			False	CCLE column FHL2 (2274)
CRYZ	1429	matched_entrez			False	CCLE column CRYZ (1429)
UBE2C	11065	matched_entrez			False	CCLE column UBE2C (11065)
RFX5	5993	matched_entrez			False	CCLE column RFX5 (5993)
ARNT2	9915	matched_entrez			False	CCLE column ARNT2 (9915)
PYGL	5836	matched_entrez			False	CCLE column PYGL (5836)
POLD4	57804	matched_entrez			False	CCLE column POLD4 (57804)
LYPLA1	10434	matched_entrez			False	CCLE column LYPLA1 (10434)
ECD	11319	matched_entrez			False	CCLE column ECD (11319)
PTPRK	5796	matched_entrez			False	CCLE column PTPRK (5796)
TIMELESS	8914	matched_entrez			False	CCLE column TIMELESS (8914)
STK10	6793	matched_entrez			False	CCLE column STK10 (6793)
TP53BP1	7158	matched_entrez			False	CCLE column TP53BP1 (7158)
TCTA	6988	matched_entrez			False	CCLE column TCTA (6988)
PDHX	8050	matched_entrez			False	CCLE column PDHX (8050)
KLHL21	9903	matched_entrez			False	CCLE column KLHL21 (9903)
COG2	22796	matched_entrez			False	CCLE column COG2 (22796)
DNM1L	10059	matched_entrez			False	CCLE column DNM1L (10059)
PTK2B	2185	matched_entrez			False	CCLE column PTK2B (2185)
PAN2	9924	matched_entrez			False	CCLE column PAN2 (9924)
CCDC86	79080	matched_entrez			False	CCLE column CCDC86 (79080)
TP53BP2	7159	matched_entrez			False	CCLE column TP53BP2 (7159)
SLC11A2	4891	matched_entrez			False	CCLE column SLC11A2 (4891)
SPTLC2	9517	matched_entrez			False	CCLE column SPTLC2 (9517)
KIF5C	3800	matched_entrez			False	CCLE column KIF5C (3800)
RB1	5925	matched_entrez			False	CCLE column RB1 (5925)
TBP	6908	matched_entrez			False	CCLE column TBP (6908)
HAT1	8520	matched_entrez			False	CCLE column HAT1 (8520)
PAK4	10298	matched_entrez			False	CCLE column PAK4 (10298)
TIMP2	7077	matched_entrez			False	CCLE column TIMP2 (7077)
RRP8	23378	matched_entrez			False	CCLE column RRP8 (23378)
S100A4	6275	matched_entrez			False	CCLE column S100A4 (6275)
B4GAT1	11041	matched_entrez			False	CCLE column B4GAT1 (11041)
ABCB6	10058	matched_entrez			False	CCLE column ABCB6 (10058)
PMM2	5373	matched_entrez			False	CCLE column PMM2 (5373)
MTFR1	9650	matched_entrez			False	CCLE column MTFR1 (9650)
RFC5	5985	matched_entrez			False	CCLE column RFC5 (5985)
CDK1	983	matched_entrez			False	CCLE column CDK1 (983)
ST3GAL5	8869	matched_entrez			False	CCLE column ST3GAL5 (8869)
MAPK9	5601	matched_entrez			False	CCLE column MAPK9 (5601)
TLE1	7088	matched_entrez			False	CCLE column TLE1 (7088)
PAFAH1B3	5050	matched_entrez			False	CCLE column PAFAH1B3 (5050)
IL4R	3566	matched_entrez			False	CCLE column IL4R (3566)
NPRL2	10641	matched_entrez			False	CCLE column NPRL2 (10641)
CDH3	1001	matched_entrez			False	CCLE column CDH3 (1001)
DRAP1	10589	matched_entrez			False	CCLE column DRAP1 (10589)
DFFA	1676	matched_entrez			False	CCLE column DFFA (1676)
EDEM1	9695	matched_entrez			False	CCLE column EDEM1 (9695)
HS2ST1	9653	matched_entrez			False	CCLE column HS2ST1 (9653)
KIAA0355	9710	matched_entrez			False	CCLE column GARRE1 (9710)
CNOT4	4850	matched_entrez			False	CCLE column CNOT4 (4850)
DMTF1	9988	matched_entrez			False	CCLE column DMTF1 (9988)
DCK	1633	matched_entrez			False	CCLE column DCK (1633)
DYNLT3	6990	matched_entrez			False	CCLE column DYNLT3 (6990)
BAMBI	25805	matched_entrez			False	CCLE column BAMBI (25805)
SLC35A1	10559	matched_entrez			False	CCLE column SLC35A1 (10559)
NCK2	8440	matched_entrez			False	CCLE column NCK2 (8440)
ITGB1BP1	9270	matched_entrez			False	CCLE column ITGB1BP1 (9270)
PPP2R5E	5529	matched_entrez			False	CCLE column PPP2R5E (5529)
CEBPZ	10153	matched_entrez			False	CCLE column CEBPZ (10153)
TIMM17B	10245	matched_entrez			False	CCLE column TIMM17B (10245)
UGDH	7358	matched_entrez			False	CCLE column UGDH (7358)
MTF2	22823	matched_entrez			False	CCLE column MTF2 (22823)
EZH2	2146	matched_entrez			False	CCLE column EZH2 (2146)
MYCBP	26292	matched_entrez			False	CCLE column MYCBP (26292)
DUSP14	11072	matched_entrez			False	CCLE column DUSP14 (11072)
SOCS2	8835	matched_entrez			False	CCLE column SOCS2 (8835)
RPS6KA1	6195	matched_entrez			False	CCLE column RPS6KA1 (6195)
APOE	348	matched_entrez			False	CCLE column APOE (348)
HES1	3280	matched_entrez			False	CCLE column HES1 (3280)
PSMG1	8624	matched_entrez			False	CCLE column PSMG1 (8624)
SATB1	6304	matched_entrez			False	CCLE column SATB1 (6304)
DDB2	1643	matched_entrez			False	CCLE column DDB2 (1643)
CCNA2	890	matched_entrez			False	CCLE column CCNA2 (890)
EML3	256364	matched_entrez			False	CCLE column EML3 (256364)
PRAF2	11230	matched_entrez			False	CCLE column PRAF2 (11230)
SPR	6697	matched_entrez			False	CCLE column SPR (6697)
EPN2	22905	matched_entrez			False	CCLE column EPN2 (22905)
MRPL19	9801	matched_entrez			False	CCLE column MRPL19 (9801)
CEP57	9702	matched_entrez			False	CCLE column CEP57 (9702)
TRAPPC3	27095	matched_entrez			False	CCLE column TRAPPC3 (27095)
ZNF318	24149	matched_entrez			False	CCLE column ZNF318 (24149)
STX4	6810	matched_entrez			False	CCLE column STX4 (6810)
IPO13	9670	matched_entrez			False	CCLE column IPO13 (9670)
PCBD1	5092	matched_entrez			False	CCLE column PCBD1 (5092)
MNAT1	4331	matched_entrez			False	CCLE column MNAT1 (4331)
AGL	178	matched_entrez			False	CCLE column AGL (178)
LOXL1	4016	matched_entrez			False	CCLE column LOXL1 (4016)
NFIL3	4783	matched_entrez			False	CCLE column NFIL3 (4783)
CSNK2A2	1459	matched_entrez			False	CCLE column CSNK2A2 (1459)
RAB4A	5867	matched_entrez			False	CCLE column RAB4A (5867)
POLB	5423	matched_entrez			False	CCLE column POLB (5423)
IGF1R	3480	matched_entrez			False	CCLE column IGF1R (3480)
FGFR2	2263	matched_entrez			False	CCLE column FGFR2 (2263)
MBNL2	10150	matched_entrez			False	CCLE column MBNL2 (10150)
TATDN2	9797	matched_entrez			False	CCLE column TATDN2 (9797)
TRIM13	10206	matched_entrez			False	CCLE column TRIM13 (10206)
HMOX1	3162	matched_entrez			False	CCLE column HMOX1 (3162)
NUCB2	4925	matched_entrez			False	CCLE column NUCB2 (4925)
BCL2	596	matched_entrez			False	CCLE column BCL2 (596)
RFC2	5982	matched_entrez			False	CCLE column RFC2 (5982)
